stop,line,destination,url,station_id
Arret Rue Haute Quai 1,27,"KOCKELSCHEUER, Patinoire",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-haute-quai-1,1718017
Arret Rue Haute Quai 2,9,"HAMM, Rue de Bitbourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-haute-quai-2,1718022
Arret Rue Haute Quai 2,15,"HOLLERICH, P+R Bouillon",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-haute-quai-2,1718022
Arret Rue Haute Quai 2,27,"HAMM, Rue de Bitbourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-haute-quai-2,1718022
Arret Rue Haute Quai 2,92,"Limpertsberg, Theater",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-haute-quai-2,1718022
Arret Rue Verte Quai 1,13,"BELAIR, Centre Hospitalier",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-verte-quai-1,1870007
Arret Rue Verte Quai 1,27,"KOCKELSCHEUER, Patinoire",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-verte-quai-1,1870007
Arret Rue Verte Quai 1,75,"CESSANGE, Rue Verte",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-verte-quai-1,1870007
Arret Rue Verte Quai 2,13,"KOHLENBERG, Boy Konen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-verte-quai-2,1870006
Arret Rue Verte Quai 2,27,"HAMM, Rue de Bitbourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-verte-quai-2,1870006
Arret Rue Verte Quai 2,75,Geesseknäppchen/Sud,https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-verte-quai-2,1870006
Arret Rue Verte Quai 2,98,"Limpertsberg, Theater",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-verte-quai-2,1870006
Arret Rumm Quai 1,14,"CENTS, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-1,1831168
Arret Rumm Quai 1,15,"HAMM, Ierzkaulen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-1,1831168
Arret Rumm Quai 1,23,"BONNEVOIE, LT de Bonnevoie",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-1,1831168
Arret Rumm Quai 1,83,École Européenne,https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-1,1831168
Arret Rumm Quai 1,93,"PULVERMUHL, Hammer Dällchen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-1,1831168
Arret Rumm Quai 2,14,"CESSANGE, Boy Konen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rumm-quai-2,1831159
